@relation led7
@attribute a1 {1,0}
@attribute a2 {1,0}
@attribute a3 {1,0}
@attribute a4 {1,0}
@attribute a5 {1,0}
@attribute a6 {1,0}
@attribute a7 {1,0}
@attribute class {1,0,3,2,5,4,7,6,9,8}
@data
1,0,1,0,0,1,0,7
1,0,1,1,1,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
0,0,1,1,0,1,0,7
1,0,1,0,0,1,0,7
1,1,1,0,0,0,0,7
1,1,1,0,0,1,0,7
1,0,1,1,0,1,0,7
1,1,1,0,0,1,0,7
0,0,1,0,0,1,0,7
1,0,1,0,0,0,0,7
1,0,1,0,0,1,0,7
1,1,1,0,0,0,0,7
1,0,1,1,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,1,0,1,0,7
1,0,1,0,1,1,0,7
1,0,1,0,0,1,1,7
1,0,1,0,0,1,0,7
1,0,1,0,1,1,0,7
1,0,1,0,0,1,0,7
1,1,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
0,1,0,1,1,1,1,6
1,1,0,1,1,1,0,6
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,0,0,1,1,1,1,6
0,1,0,1,1,1,1,6
1,1,0,0,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,0,1,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,6
1,1,0,0,1,1,1,6
1,1,0,0,1,1,1,6
1,1,0,1,1,0,1,6
1,0,0,0,0,1,1,6
1,1,0,0,1,1,1,6
1,0,0,0,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,1,1,0,6
1,1,0,1,1,1,1,6
1,1,0,0,1,1,0,6
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,6
1,1,1,1,1,0,1,6
0,1,1,1,0,1,0,1
1,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,1
0,1,1,0,0,1,0,1
0,0,1,1,0,1,0,1
0,0,1,1,0,1,0,1
0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
1,0,1,0,0,1,1,1
0,0,1,0,0,1,0,1
0,0,1,1,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,1
0,0,1,1,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,1,1,0,1,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1
1,0,0,0,1,1,1,1
0,1,1,1,0,1,0,9
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,9
1,0,1,1,0,1,0,9
1,1,0,1,0,1,1,9
1,1,1,1,0,0,1,9
1,1,1,1,1,0,1,9
1,1,1,1,0,1,0,9
1,1,1,0,1,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,0,9
1,1,1,1,1,1,1,9
1,1,1,1,1,1,1,9
1,1,1,1,0,1,1,9
1,1,1,0,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,9
1,1,1,1,0,1,1,9
0,1,1,1,0,0,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,0,1,1,0,1,0,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,0,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,1,1,1,3
1,1,0,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
0,0,0,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,0,3
1,0,1,1,0,1,0,3
0,0,1,1,0,1,1,3
1,0,1,1,1,0,1,3
1,0,1,1,1,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,1,0,1,3
0,1,1,1,0,1,0,4
1,1,1,1,0,1,0,4
0,0,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,0,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,0,1,0,1,0,4
0,1,1,0,0,1,0,4
1,0,1,0,1,0,0,4
0,1,1,1,0,1,0,4
0,0,1,1,0,1,0,4
0,1,0,1,1,1,0,4
0,1,1,1,1,1,0,4
0,1,1,1,0,0,1,4
0,1,1,0,0,1,0,4
0,1,1,1,0,1,1,4
0,1,1,1,0,0,1,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,0,1,0,1,0,4
1,1,1,1,0,1,0,4
0,1,0,1,0,1,0,4
1,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,0,1,1,0,0,1,4
1,1,0,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,1,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,0,1,0,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,0,2
1,0,1,1,1,0,1,2
0,0,1,1,1,1,1,2
1,0,1,1,1,0,1,2
1,0,1,1,0,0,1,2
1,0,1,1,1,1,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
0,0,1,1,1,0,1,2
1,1,0,1,1,0,1,2
1,0,1,1,1,1,1,2
1,0,1,1,1,1,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
0,0,1,1,1,0,0,2
1,0,0,0,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,0,2
1,0,1,1,1,1,0,2
1,0,1,0,1,0,1,2
1,0,1,1,1,1,1,2
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,0,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,0,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,0,0,1,0,5
1,0,0,1,0,1,1,5
1,0,0,1,1,1,1,5
1,0,0,1,1,1,1,5
1,1,0,1,0,0,1,5
1,0,0,1,0,1,0,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,0,0,1,1,5
1,1,0,1,0,1,1,5
1,0,0,1,0,1,0,5
1,0,0,1,0,1,0,5
1,1,0,0,0,1,0,5
1,1,0,1,0,1,0,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,0,0,1,0,1,1,5
1,1,1,0,0,1,1,5
1,0,0,0,1,1,1,5
1,1,0,1,0,1,0,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,0,1,0,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,8
1,1,1,1,1,1,0,8
1,1,0,0,1,1,1,8
1,1,1,1,1,0,1,8
1,1,1,1,1,1,1,8
0,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,0,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
0,1,1,1,1,1,1,8
1,0,0,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,0,0,1,1,1,8
1,0,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,0,8
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,8
1,0,1,1,1,1,1,8
1,1,1,1,1,1,0,8
1,1,1,0,1,1,1,0
1,1,0,0,1,1,1,0
1,1,1,0,0,1,1,0
1,1,1,0,0,1,1,0
1,1,1,0,1,0,1,0
0,1,1,0,1,1,1,0
1,1,1,0,1,0,0,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,0,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,0,0
1,1,1,0,1,1,0,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,0,0,1,1,1,0
1,0,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,0,0,0,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,1,1,0,0,1,0,7
1,0,1,0,0,1,1,7
1,0,1,0,0,1,0,7
0,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
0,0,1,0,0,1,1,7
1,1,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,1,1,0,0,1,0,7
1,0,0,0,0,1,0,7
0,0,1,0,0,1,0,7
1,1,1,0,0,1,0,7
1,0,0,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
0,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,0,0,0,0,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,0,0,7
1,0,1,0,0,1,1,7
1,0,1,0,0,1,1,7
1,1,1,0,0,1,0,7
1,0,1,0,1,1,0,7
1,0,1,0,0,1,0,7
1,0,1,1,0,1,0,7
1,0,0,1,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,0,1,6
1,1,0,1,0,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,6
1,1,0,1,1,1,0,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,6
1,1,0,1,1,0,1,6
1,1,1,1,0,0,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,6
0,1,0,1,1,0,1,6
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,6
1,1,0,0,1,1,1,6
1,1,0,1,1,0,1,6
1,1,1,1,1,1,1,6
1,1,0,0,1,1,0,6
1,1,0,1,0,1,1,6
1,1,1,1,0,0,1,6
1,1,0,1,1,1,0,6
1,1,0,1,1,0,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,0,1,0,0,1,0,1
0,0,0,1,0,1,0,1
0,1,1,0,0,0,0,1
0,0,1,0,0,1,1,1
0,0,1,1,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,1,1,0,0,1,0,1
0,0,1,1,0,1,0,1
0,1,1,0,0,0,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,1,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,0,0,0,1,1,1
0,1,1,0,1,1,0,1
0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
1,1,1,1,0,1,1,9
1,1,1,1,0,1,0,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,9
1,1,1,0,0,1,1,9
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,9
0,1,1,1,0,1,1,9
1,0,1,1,0,0,1,9
1,1,0,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,0,1,0,1,1,9
1,1,0,0,0,0,1,9
1,1,1,0,0,1,1,9
1,1,1,0,1,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,0,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,0,1,0,1,0,9
1,1,1,0,0,1,1,9
1,1,1,1,0,0,1,9
1,1,1,1,1,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,0,9
1,0,1,1,0,1,1,9
1,0,1,1,0,1,1,3
1,0,1,1,0,1,0,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,1,1,0,3
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,0,3
1,0,1,1,0,1,1,3
0,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
0,0,1,1,0,1,0,3
1,0,0,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,0,0,1,1,3
1,1,1,1,0,1,1,3
1,0,0,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,0,0,3
1,0,1,1,0,1,1,3
0,1,1,1,0,0,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,0,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,0,1,4
0,1,1,0,0,1,0,4
0,1,1,1,1,1,0,4
1,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,1,4
0,1,1,0,0,0,0,4
0,1,1,1,1,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,1,1,0,4
0,1,1,1,0,1,0,4
1,1,1,1,1,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,1,0,0,4
0,1,1,1,1,1,0,4
0,1,1,1,0,0,0,4
0,1,1,0,1,1,0,4
1,1,1,0,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,1,1,0,1,1,4
0,0,1,1,1,0,1,2
0,0,1,1,0,0,1,2
1,0,1,1,0,1,0,2
1,0,1,1,0,0,1,2
0,0,1,0,1,0,1,2
1,0,1,1,1,0,1,2
1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,2
1,0,1,1,1,0,0,2
1,0,1,1,1,0,1,2
0,0,1,1,0,0,1,2
1,0,1,1,1,0,1,2
1,1,1,1,1,1,0,2
1,0,1,1,0,0,1,2
1,1,0,1,1,0,1,2
1,0,1,0,1,0,1,2
1,0,1,1,1,1,1,2
1,1,1,1,1,0,1,2
1,0,1,1,1,1,1,2
1,1,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,0,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
0,1,1,1,1,0,1,2
1,1,0,1,1,0,1,2
0,0,1,1,0,0,1,2
1,0,1,1,1,1,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,0,1,1,2
1,1,0,1,1,1,1,5
1,1,0,1,1,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,5
1,1,0,0,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,0,5
1,1,0,1,0,0,1,5
1,1,0,1,0,0,1,5
1,1,0,1,1,1,0,5
1,1,0,1,0,1,1,5
1,0,0,1,0,1,1,5
1,1,0,0,0,0,1,5
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,5
1,1,0,1,1,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,0,1,5
1,0,0,1,0,0,1,5
0,1,0,1,0,1,0,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,0,5
1,1,0,1,0,1,1,5
1,1,0,0,0,1,1,5
1,1,0,1,0,0,1,5
1,1,0,1,1,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,0,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,0,1,8
1,0,0,0,0,1,1,8
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,8
1,1,1,1,1,1,1,8
1,1,0,1,1,0,1,8
1,1,1,0,0,1,1,8
1,0,1,1,0,1,1,8
1,1,1,1,1,0,1,8
1,1,1,0,1,1,0,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,8
1,1,0,1,1,1,1,8
1,0,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
0,1,1,1,0,1,1,8
